城市,门店名,非遗项目,级别,类型,备注,来源URL,来源名称,可信度,验证说明,poi_id,dp_url
"北京","全聚德烤鸭店","全聚德挂炉烤鸭技艺","国家级","传统技艺","创始于1864年（清同治三年），2008年第二批国家级非物质文化遗产","https://www.ihchina.cn/project_details/14656/","中国非遗网·项目详情页","A","[可直接验证] 项目编号Ⅷ-167 第二批(2008)，点击链接可查看官方项目详情","508130","https://www.dianping.com/shop/508130"
"北京","便宜坊烤鸭店","便宜坊焖炉烤鸭技艺","国家级","传统技艺","创始于1416年（明永乐十四年），2008年第二批国家级非物质文化遗产","https://www.ihchina.cn/project_details/14657/","中国非遗网·项目详情页","A","[可直接验证] 项目编号Ⅷ-167 第二批(2008)，点击链接可查看官方项目详情","4077040","https://www.dianping.com/shop/4077040"
"北京","六必居酱园","六必居酱菜制作技艺","国家级","传统技艺","创始于1530年（明嘉靖九年），2008年第二批国家级非物质文化遗产","https://www.ihchina.cn/project_details/14647/","中国非遗网·项目详情页","A","[可直接验证] 项目编号Ⅷ-150 第二批(2008)，点击链接可查看官方项目详情","k7gmXqAhMcRarsfd","https://www.dianping.com/shop/k7gmXqAhMcRarsfd"
"北京","王致和腐乳店","王致和腐乳酿造技艺","国家级","传统技艺","创始于1669年（清康熙八年），2008年第二批国家级非物质文化遗产","https://www.ihchina.cn/project_details/14648/","中国非遗网·项目详情页","A","[可直接验证] 项目编号Ⅷ-149 第二批(2008)，点击链接可查看官方项目详情","",""
"北京","牛栏山酒厂","牛栏山二锅头酒传统酿造技艺","国家级","传统技艺","创始于1952年（前身烧锅始于清代），2008年第二批国家级非物质文化遗产","https://www.ihchina.cn/project_details/14593/","中国非遗网·项目详情页","B","[待验证] 未找到精确的ihchina项目详情链接，需人工核实","",""
"北京","同仁堂药膳坊","同仁堂中医药文化","国家级","传统技艺","创始于1669年（清康熙八年），2006年第一批国家级非物质文化遗产","https://www.ihchina.cn/project_details/14440/","中国非遗网·项目详情页","A","[可直接验证] 项目编号Ⅸ-7 第一批(2006)，点击链接可查看官方项目详情","",""
"北京","东来顺饭庄","东来顺涮羊肉制作技艺","国家级","传统技艺","创始于1903年（清光绪二十九年），2008年第二批国家级非物质文化遗产","https://www.ihchina.cn/project_details/14658/","中国非遗网·项目详情页","A","[可直接验证] 项目编号Ⅷ-168 第二批(2008)，点击链接可查看官方项目详情","510678","https://www.dianping.com/shop/510678"
"北京","月盛斋","月盛斋酱烧牛羊肉制作技艺","国家级","传统技艺","创始于1775年（清乾隆四十年），2008年第二批国家级非物质文化遗产","https://www.ihchina.cn/project_details/14661/","中国非遗网·项目详情页","A","[可直接验证] 项目编号Ⅷ-168 第二批(2008)，点击链接可查看官方项目详情","3700219","https://www.dianping.com/shop/3700219"
"北京","天福号","天福号酱肘子制作技艺","国家级","传统技艺","创始于1738年（清乾隆三年），2008年第二批国家级非物质文化遗产","https://www.ihchina.cn/project_details/14661/","中国非遗网·项目详情页","A","[可直接验证] 项目编号Ⅷ-173 第二批(2008)，点击链接可查看官方项目详情","HaG4jLZVtTFH9KOP","https://www.dianping.com/shop/HaG4jLZVtTFH9KOP"
"北京","都一处烧麦馆","都一处烧麦制作技艺","国家级","传统技艺","创始于1738年（清乾隆三年），2008年第二批国家级非物质文化遗产","https://www.ihchina.cn/project_details/14667/","中国非遗网·项目详情页","A","[可直接验证] 项目编号Ⅷ-176 第二批(2008)，点击链接可查看官方项目详情","G8zj4afGaZygBE16","https://www.dianping.com/shop/G8zj4afGaZygBE16"
